Company Name,Ticker,Optionable,Sector,Industry,Market Cap ,Shares Outstanding ,Avg Volume,Last Close,Beta,52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range
American Vanguard Corporation,AVD,YES,Basic Materials,Chemical - Specialty,630.16,29.8,145068.8,21.15,1.19,23.7,15.75,67.93
Avadel Pharmaceuticals PLC.,AVDL,YES,Medical,Medical - Drugs,299.43,40.08,420966.59,7.47,1.55,11.7,6.76,14.37
"AVEO Pharmaceuticals, Inc.",AVEO,YES,Medical,Medical - Biomedical and Genetics,297.17,118.87,2423324.25,2.5,1.32,3.99,0.57,56.43
Broadcom Limited,AVGO,YES,Computer and Technology,Electronics - Semiconductors,96419.93,410.75,5049098.5,234.74,0.92,284.62,209.2,33.86
Avianca Holdings S.A.,AVH,YES,Transportation,Transportation - Air Freight and Cargo,705.4,82.6,118938.9,8.54,0.69,9.5,6.45,68.53
"A V Homes, Inc.",AVHI,YES,Finance,Real Estate - Development,414.56,22.35,108975.55,18.55,0.49,20.4,14.75,67.26
"Avid Technology, Inc.",AVID,YES,Computer and Technology,Computer - Software,186.24,41.48,252174.95,4.49,1.91,7.38,4.04,13.47
"Avon Products, Inc.",AVP,YES,Consumer Staples,Cosmetics,1237.45,440.37,6784976,2.81,1.43,4.85,1.87,31.54
"Avnet, Inc.",AVT,YES,Computer and Technology,Electronics - Parts Distribution,4894.97,119.94,621638.38,40.81,0.96,44.85,35.93,54.71
AVX Corporation,AVX,YES,Computer and Technology,Electronics - Miscellaneous Components,2719.07,168.36,194156.8,16.15,0.86,19.64,16.04,3.06
Anavex Life Sciences Corp.,AVXL,YES,Medical,Medical - Biomedical and Genetics,101.63,44.57,248800,2.28,0.88,6.31,2.28,0
"AveXis, Inc.",AVXS,YES,Medical,Medical - Biomedical and Genetics,7729.23,36.72,935689.69,210.46,2.06,210.46,67.48,100
Avery Dennison Corporation,AVY,YES,Industrial Products,Office Supplies,9135.7,87.93,826059.5,103.9,1.25,122.68,79.48,56.53
"Armstrong World Industries, Inc.",AWI,YES,Construction,Building Products - Miscellaneous,2965.93,53.1,409205.75,55.85,1.68,64.15,41.35,63.6
American Water Works,AWK,YES,Utilities,Utility - Water Supply,14666.25,178.55,877587.38,82.14,0.16,92.25,75.25,40.53
American States Water Company,AWR,YES,Utilities,Utility - Water Supply,1928.67,36.72,320454.5,52.53,0.38,59.45,43.32,57.1
"Aware, Inc.",AWRE,YES,Computer and Technology,Internet - Software and Services,88.34,21.55,13414.65,4.1,-0.12,5.35,4.1,0
Abraxas Petroleum Corporation,AXAS,YES,Oils-Energy,Oil and Gas - Exploration and Production - United States,386.55,165.9,937819.19,2.33,1.35,2.66,1.51,71.3
"Accelerate Diagnostics, Inc.",AXDX,YES,Medical,Medical - Instruments,1304.93,55.77,201063.75,23.4,2.13,30.3,18,43.9
Anixter International Inc.,AXE,YES,Computer and Technology,Electronics - Parts Distribution,2480.33,33.29,125850.85,74.5,2.04,88,63.15,45.67
"AxoGen, Inc.",AXGN,YES,Medical,Medical - Generic Drugs,1290.82,34.56,410114.41,37.35,0.01,40.25,10.75,90.17
"American Axle & Manufacturing Holdings, Inc.",AXL,YES,Auto-Tires-Trucks,Automotive - Original Equipment,1780.79,111.3,2226067.5,16,1.37,19.59,13.59,40.17
Axovant Sciences Ltd.,AXON,YES,Medical,Medical - Biomedical and Genetics,122.88,107.79,568848.38,1.14,-0.4,26.2,1.14,0
American Express Company,AXP,YES,Finance,Financial - Miscellaneous Services,79266.09,860.28,3564056,92.14,1.14,101.64,75.55,63.59
Axis Capital Holdings Limited,AXS,YES,Finance,Insurance - Property and Casualty,4801.47,83.23,1167023.75,57.69,0.34,68.08,47.86,48.62
"Axsome Therapeutics, Inc.",AXSM,YES,Medical,Medical - Biomedical and Genetics,62.46,25.49,181590.05,2.45,-0.16,6.2,2.15,7.41
Axalta Coating Systems Ltd.,AXTA,YES,Basic Materials,Chemical - Specialty,7843.82,243.9,1946388.25,32.16,1.32,37.55,28.08,43.08
AXT Inc,AXTI,YES,Computer and Technology,Electronics - Semiconductors,269.97,39.41,349650.25,6.85,1.06,10.43,5.6,25.91
Alexco Resource Corp,AXU,YES,Basic Materials,Mining - Silver,143.32,101.64,222364.3,1.41,-0.43,1.82,1.11,42.25
Atlantica Yield PLC,AY,YES,Utilities,Utility - Electric Power,1992.31,100.22,298471.66,19.88,1,23.53,19.2,15.7
Acuity Brands Inc,AYI,YES,Construction,Building Products - Lighting,5457.81,42.16,845095,129.46,1.33,206.68,129.46,0
Aircastle Limited,AYR,YES,Transportation,Transportation - Equipment and Leasing,1538.92,78.68,446531.59,19.56,1.84,24.97,19.21,6.08
AstraZeneca PLC,AZN,YES,Medical,Large Cap Pharmaceuticals,90930.97,2532.9,3705681.25,35.9,0.62,36.63,28.88,90.58
"AutoZone, Inc.",AZO,YES,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,16762.09,27.25,375302.75,615.1,0.84,796.95,493.15,40.14
"Aspen Technology, Inc.",AZPN,YES,Computer and Technology,Computer - Software,5782.45,71.94,337278.34,80.38,1.21,82.88,54.42,91.22
AZZ Inc.,AZZ,YES,Industrial Products,Manufacturing - Electronics,1117.64,25.96,115954.05,43.05,1.24,61,40.55,12.23
"Barnes Group, Inc.",B,YES,Industrial Products,Manufacturing - General Industrial ,3181.82,53.23,210264.55,59.77,1.32,72.44,49.32,45.2
BANRO CORPORATION,BAA,YES,Basic Materials,Mining - Gold,11.58,109.76,0,0.1055,1.46,1.5,0.1,0.39
Alibaba Group Holding Limited,BABA,YES,Retail-Wholesale,Internet - Commerce,435063.22,2561.15,18239218,169.87,2.52,205.22,108.99,63.26
Natus Medical Incorporated,BABY,YES,Medical,Medical - Instruments,1104.24,33.16,432060.84,33.3,0.47,43.1,28.15,34.45
Bank of America Corporation,BAC,YES,Finance,Banks - Major Regional,305979.03,10243.69,68900776,29.87,1.37,32.84,22.23,72.01
Booz Allen Hamilton Holding Corporation,BAH,YES,Business Services,Government Services,5632.79,145.06,719148.19,38.83,1.26,40.02,31.9,85.35
