Company Name,Ticker,Optionable,Sector,Industry,Market Cap ,Shares Outstanding ,Avg Volume,Last Close,Beta,52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range
Kellogg Company,K,YES,Consumer Staples,Food - Miscellaneous,22293.88,345.75,2736170,64.48,0.45,73.49,58.87,38.37
Kadant Inc,KAI,YES,Industrial Products,Manufacturing - General Industrial ,1034.98,11.03,58210.95,93.85,1.37,113.6,57.7,64.67
Kaiser Aluminum Corporation,KALU,YES,Industrial Products,Metal Products - Procurement and Fabrication,1714.49,16.76,106743.25,102.31,0.61,116.1,77.02,64.71
Kaman Corporation,KAMN,YES,Industrial Products,Manufacturing - General Industrial ,1710.04,27.8,136957,61.51,0.79,63.49,46.16,88.57
"iKang Healthcare Group, Inc.",KANG,YES,Medical,Medical Services,1388.84,69.44,901058.81,20,0.07,20.11,11.73,98.69
"KAR Auction Services, Inc",KAR,YES,Retail-Wholesale,Retail - Miscellaneous,7216.41,134.41,1001548,53.69,1.11,56.64,40.31,81.93
KB Financial Group Inc,KB,YES,Finance,Banks - Foreign,21249.15,401,169650.45,52.99,1.32,63.9,41.27,51.79
"Kimball International, Inc.",KBAL,YES,Consumer Discretionary,Furniture,634.98,37.48,97303.4,16.94,1.55,20.72,15.91,21.41
KB Home,KBH,YES,Construction,Building Products - Home Builders,2481.39,86.76,2193701.5,28.6,1.43,38.58,19.74,47.03
"KBR, Inc.",KBR,YES,Construction,Engineering - R and D Services,2308.82,140.27,1994903.63,16.46,1.12,21.59,13.63,35.55
"KCAP Financial, Inc.",KCAP,YES,Finance,Financial - SBIC & Commercial Industry,116.92,37.35,96741.55,3.13,1.51,3.98,2.96,16.67
"Kadmon Holdings, Inc.",KDMN,YES,Medical,Medical - Biomedical and Genetics,313,78.64,363630.5,3.98,3.97,5.83,2.09,50.53
"Kimball Electronics, Inc.",KE,YES,Computer and Technology,Electronics - Miscellaneous Products,432.45,26.69,81135.9,16.2,0.96,22.2,15.9,4.76
"Key Energy Services, Inc.",KEG,YES,Oils-Energy,Oil and Gas - Drilling,242.61,20.22,88818.7,12,2.82,25.17,8.72,19.94
"Kelly Services, Inc.",KELYA,YES,Business Services,Staffing Firms,1135.55,38.43,150067.95,29.55,1.01,30.91,20.35,87.12
Kemet Corporation,KEM,YES,Computer and Technology,Electronics - Miscellaneous Components,978.71,56.6,818687.69,17.29,3.62,27.14,10.95,39.16
Korea Electric Power Corporation,KEP,YES,Utilities,Utility - Electric Power,20748.28,1283.93,834658.69,16.16,0.49,20.38,14.28,30.82
"Keryx Biopharmaceuticals, Inc.",KERX,YES,Medical,Medical - Biomedical and Genetics,499.35,119.18,1236745.5,4.19,2.61,8.25,4.01,4.25
Kirby Corporation,KEX,YES,Transportation,Transportation - Shipping,4809.72,59.67,496429,80.6,0.94,83.7,60.05,86.89
KeyCorp,KEY,YES,Finance,Banks - Major Regional,20354.58,1060.69,9533569,19.19,1.04,22.15,16.47,47.89
Keysight Technologies Inc.,KEYS,YES,Computer and Technology,Electronics - Measuring Instruments,9745.1,190,831567.88,51.29,1,54.62,35.3,82.76
The KEYW Holding Corporation,KEYW,YES,Computer and Technology,Computer - Services,392.01,49.87,655236,7.86,0.64,9.62,4.98,62.07
"Kforce, Inc.",KFRC,YES,Business Services,Staffing Firms,712.97,26.26,146096.95,27.15,1.53,28.95,17.45,84.35
Korn/Ferry International,KFY,YES,Business Services,Staffing Firms,2877.07,56.51,499195.09,50.91,1.21,52.75,30.17,91.85
Kinross Gold Corporation,KGC,YES,Basic Materials,Mining - Gold,4524.79,1249.94,10785091,3.62,0.31,4.89,3.36,16.99
The Kraft Heinz Company,KHC,YES,Consumer Staples,Food - Miscellaneous,73924.83,1218.88,5249538.5,60.65,0.59,93.77,60.03,1.84
Kimco Realty Corporation,KIM,YES,Finance,REIT and Equity Trust - Retail,6071.25,425.45,4119557.25,14.27,0.5,22.72,13.99,3.21
"Kindred Biosciences, Inc.",KIN,YES,Medical,Medical - Biomedical and Genetics,242.43,28.19,101216,8.6,0.08,9.6,6.65,66.1
"Kirkland's, Inc.",KIRK,YES,Retail-Wholesale,Retail - Home Furnishings,156.92,15.76,217552.05,9.96,1.11,13.2,8.23,34.81
KKR & Co. L.P.,KKR,YES,Finance,Financial - Investment Management,9740.88,486.8,3145088,20.01,1.58,24.41,16.86,41.72
KLA-Tencor Corporation,KLAC,YES,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,16177.97,155.87,1606217.88,103.79,1.49,122.39,88.14,45.69
Klondex Mines Ltd.,KLDX,YES,Basic Materials,Mining - Miscellaneous,420.3,179.62,4147115.5,2.34,-1.41,3.94,1.32,38.93
"Kulicke and Soffa Industries, Inc.",KLIC,YES,Computer and Technology,Electronics - Manufacturing Machinery,1718.69,70.61,562278.88,24.34,1.21,28.52,18.48,58.37
Kimberly-Clark Corporation,KMB,YES,Consumer Staples,Consumer Products - Staples,38002.54,350.71,2233437.5,108.36,0.66,133.91,104.74,12.41
"KMG Chemicals, Inc.",KMG,YES,Basic Materials,Chemical - Specialty,918.65,15.37,125275.35,59.76,0.4,70.04,42.63,62.49
"Kinder Morgan, Inc.",KMI,YES,Oils-Energy,Oil and Gas - Production and Pipelines,33311.61,2206.07,18858800,15.1,0.64,21.75,14.81,4.18
"KemPharm, Inc.",KMPH,YES,Medical,Medical - Drugs,87.61,15.1,141627.5,5.8,-0.34,8,2.55,59.63
Kemper Corporation,KMPR,YES,Finance,Insurance - Multi line,2866.5,51.46,252142.59,55.7,1.08,70.95,36.7,55.47
Kennametal Inc.,KMT,YES,Industrial Products,Manufacturing - Tools & Related Products,3218.89,81.57,1003455.19,39.46,2.03,51.92,33.4,32.72
"CarMax, Inc.",KMX,YES,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,10628.43,180.85,2250973.5,58.77,1.55,76.81,55.37,15.86
Knowles Corporation,KN,YES,Computer and Technology,Communication - Components,1073.9,89.49,929668.88,12,0.87,19.59,11.94,0.78
"Kindred Healthcare, Inc.",KND,YES,Medical,Medical - Nursing Homes,809.01,91.41,2029057.25,8.85,1.12,11.7,5.6,53.28
"Kandi Technologies Group, Inc.",KNDI,YES,Consumer Discretionary,Leisure and Recreation Products,264.45,53.97,212307.5,4.9,2.77,9.2,3.55,23.89
"Knoll, Inc.",KNL,YES,Business Services,Business - Office Products,1016.25,49.5,189382,20.53,1.01,24.43,17.68,42.22
KNOT Offshore Partners LP,KNOP,YES,Transportation,Transportation - Shipping,645.71,32.69,83773.25,19.75,0.68,24.35,19.35,8
"Kinsale Capital Group, Inc.",KNSL,YES,Finance,Insurance - Property and Casualty,1076.34,21.05,86509.55,51.14,0.13,53.66,32.11,88.31
Swift Transportation Company,KNX,YES,Transportation,Transportation - Truck,7614.02,178.19,2226048.25,42.73,1.69,49.79,27.81,67.89
Coca-Cola Company (The),KO,YES,Consumer Staples,Beverages - Soft drinks,186974.66,4265.91,12923496,43.83,0.72,48.53,42.33,24.19
Eastman Kodak Company,KODK,YES,Computer and Technology,Electronics - Miscellaneous Products,212.86,42.57,688224.19,5,2.64,11.55,3.05,22.94
Coca Cola Femsa S.A.B. de C.V.,KOF,YES,Consumer Staples,Beverages - Soft drinks,13623.1,207.29,81706.3,65.72,1.03,90.9,64.7,3.89
"Kona Grill, Inc.",KONA,YES,Retail-Wholesale,Retail - Restaurants,18.7,10.11,30332.1,1.85,-0.01,6.05,1.5,7.69
Koppers Holdings Inc.,KOP,YES,Basic Materials,Chemical - Diversified ,846.72,20.78,124695.8,40.75,0.89,51.45,34,38.68
Kopin Corporation,KOPN,YES,Computer and Technology,Electronics - Miscellaneous Products,230.34,76.53,543602.13,3.01,0.9,4.52,2.9,6.79
Michael Kors Holdings Limited,KORS,YES,Consumer Discretionary,Textile - Apparel,9779.8,152.17,1657821.75,64.27,0.17,68.14,33.05,88.97
Kosmos Energy Ltd.,KOS,YES,Oils-Energy,Oil and Gas - Exploration and Production - International,2441.51,395.71,1773170.38,6.17,1.53,8.53,5.3,26.93
Karyopharm Therapeutics Inc.,KPTI,YES,Medical,Medical - Drugs,595.83,49.65,494071.06,12,3.61,17.25,8.12,42.5
The Kroger Co.,KR,YES,Retail-Wholesale,Retail - Supermarkets,20747.26,881.36,8911631,23.54,1.04,31.34,19.94,31.58
Kraton Corporation,KRA,YES,Basic Materials,Chemical - Specialty,1538.74,31.69,260644.05,48.55,1.18,52.8,30.76,80.72
Kilroy Realty Corporation,KRC,YES,Finance,REIT and Equity Trust - Other,6818.67,98.72,495375.56,69.07,0.67,77.09,63.72,40.01
Kite Realty Group Trust,KRG,YES,Finance,REIT and Equity Trust - Retail,1271.55,83.6,741132.25,15.21,0.47,22.23,14.48,9.42
Kornit Digital Ltd.,KRNT,YES,Industrial Products,Commercial Printing,449.03,34.28,233144.84,13.1,0.24,22.4,12.55,5.58
Kearny Financial,KRNY,YES,Finance,Financial - Savings and Loan,1028.91,78.84,530696.69,13.05,0.53,15.5,12.85,7.55
Kronos Worldwide Inc,KRO,YES,Basic Materials,Chemical - Diversified ,2566.07,115.9,370843.5,22.14,2.37,29.24,15.13,49.68
KapStone Paper and Packaging Corporation,KS,YES,Basic Materials,Paper and Related Products,3351.85,97.38,885434.63,34.42,3.02,35.01,19.93,96.09
Kohl's Corporation,KSS,YES,Retail-Wholesale,Retail - Regional Department Stores,10656.54,168.01,3600702.75,63.43,1.27,68.83,35.32,83.89
Kansas City Southern,KSU,YES,Transportation,Transportation - Rail,11203.99,103.05,1225175,108.72,0.78,113.7,86.78,81.5
KT Corporation,KT,YES,Computer and Technology,Wireless Non-US ,6859.19,489.94,834111,14,0.56,18.6,12.9,19.3
Key Tronic Corporation,KTCC,YES,Computer and Technology,Computer - Peripheral Equipment,74.03,10.76,11075.85,6.88,0.09,7.93,6.7,14.63
"K2M Group Holdings, Inc.",KTWO,YES,Medical,Medical - Instruments,813.52,43.39,192274.59,18.75,1.47,25.71,17.08,19.35
"Kura Oncology, Inc.",KURA,YES,Medical,Medical - Biomedical and Genetics,577.02,33.35,339149.94,17.3,4.21,23.4,6.05,64.84
"KVH Industries, Inc.",KVHI,YES,Computer and Technology,Communication - Components,179.63,17.52,20472.85,10.25,0.79,12.55,7.8,51.58
Kennedy-Wilson Holdings Inc.,KW,YES,Finance,Real Estate - Operations,2680.79,151.03,985527.81,17.75,1.29,22.5,16.15,25.2
Quaker Chemical Corporation,KWR,YES,Basic Materials,Chemical - Specialty,2000.17,13.31,55789.25,150.31,1.3,164.78,132.1,55.72
Loews Corporation,L,YES,Finance,Insurance - Multi line,16319.6,328.83,1651743.75,49.63,0.7,53.46,45.12,54.08
Multi-Color Corporation,LABL,YES,Industrial Products,Commercial Printing,1339,20.44,91565.1,65.5,0.87,87.5,63.35,8.9
"Lithia Motors, Inc.",LAD,YES,Retail-Wholesale,Automotive - Retail and Whole Sales,2520.76,25.02,283299.44,100.75,1.72,126.57,81.77,42.37
Ladder Capital Corp,LADR,YES,Finance,REIT and Equity Trust,1671.49,111.28,1244438.25,15.02,0.89,15.34,12.9,86.89
"Lakeland Industries, Inc.",LAKE,YES,Industrial Products,Security and Safety Services,104.7,8.12,13954.75,12.9,0.13,16.45,10.05,44.53
Lamar Advertising Company,LAMR,YES,Finance,REIT and Equity Trust - Other,6281.63,98.26,643524.38,63.93,1.05,78.39,62.1,11.23
Lancaster Colony Corporation,LANC,YES,Consumer Staples,Food - Miscellaneous,3368.08,27.45,103391.05,122.69,0.99,134.42,115.02,39.54
Laureate Education Inc.,LAUR,YES,Consumer Discretionary,Schools,2542.43,187.49,294223.41,13.56,0.74,18.51,10.53,37.97
Layne Christensen Company,LAYN,YES,Construction,Engineering - R and D Services,291.79,19.92,241161.05,14.65,0.47,16.54,7.24,79.68
Lazard Ltd,LAZ,YES,Finance,Financial - Investment Management,6754.33,129.77,955467.31,52.05,1.85,59.4,40.66,60.78
"L Brands, Inc.",LB,YES,Retail-Wholesale,Retail - Apparel and Shoes,10743.01,282.27,4159406,38.06,0.78,62.95,36.06,7.44
"Lakeland Bancorp, Inc.",LBAI,YES,Finance,Banks - Northeast,934.88,47.46,124119.95,19.7,0.84,21.65,17.65,51.25
Liberty Broadband Corporation,LBRDA,YES,Consumer Discretionary,Cable Television,15041.74,181.34,226925.09,82.95,1.41,103.12,81.08,8.48
Liberty Broadband Corporation,LBRDK,YES,Consumer Discretionary,Cable Television,15079.82,181.34,849073.69,83.16,1.4,103.55,81.24,8.61
Liberty Global PLC,LBTYA,YES,Consumer Discretionary,Cable Television,25321.4,809.25,1395087.38,31.29,1.61,38.49,28.69,26.53
Liberty Global PLC,LBTYK,YES,Consumer Discretionary,Broadcast Radio and Television,24512.15,809.25,2372486.5,30.29,1.54,36.7,27.85,27.57
"Libbey, Inc.",LBY,YES,Consumer Discretionary,Household Appliances,124.68,22.03,253532.55,5.66,1.21,14,4.8,9.35
LendingClub Corporation,LC,YES,Finance,Financial - Miscellaneous Services,1394.72,417.58,4234871,3.34,1.23,6.46,3.15,5.74
Lannett Co Inc,LCI,YES,Medical,Medical - Drugs,577.11,37.84,687362.38,15.25,2.5,29.25,14.7,3.78
LCI Industries,LCII,YES,Auto-Tires-Trucks,Automotive - Original Equipment,2495.67,24.99,150553.8,99.85,1.03,131.8,87.7,27.55
LCNB Corporation,LCNB,YES,Finance,Banks - Northeast,184.48,10.03,16401.9,18.4,0.29,22.95,18.3,2.15
"Lydall, Inc.",LDL,YES,Conglomerates,Diversified Operations,809.59,17.35,95515.4,46.65,1.44,59.95,43.6,18.65
"Lands' End, Inc.",LE,YES,Retail-Wholesale,Retail - Catalog Shopping,702.08,32.13,349846.09,21.85,-0.23,24.15,10.7,82.9
Lear Corporation,LEA,YES,Auto-Tires-Trucks,Automotive - Original Equipment,12659.28,66.92,553622.88,189.17,1.45,197.99,132.08,86.62
"Lincoln Electric Holdings, Inc.",LECO,YES,Industrial Products,Manufacturing - Tools & Related Products,5769.21,65.62,340012.81,87.92,1.1,100.13,81.9,33.02
"Lee Enterprises, Incorporated",LEE,YES,Consumer Staples,Publishing - Newspapers,119.87,57.08,212051.91,2.1,2.21,3.05,1.75,26.92
"Leggett & Platt, Incorporated",LEG,YES,Consumer Discretionary,Furniture,5794.77,132.24,1293975.75,43.82,0.87,54.04,41.8,16.5
Leju Holdings Limited,LEJU,YES,Finance,Real Estate - Operations,158.84,135.76,222431.66,1.17,2.91,3.44,1.12,2.16
Lennar Corporation,LEN,YES,Construction,Building Products - Home Builders,14584.71,239.96,4452707.5,60.78,1.23,71.82,49.73,50.02
LIBERTY EXPED-A,LEXEA,YES,Computer and Technology,Internet - Services,2239.95,57.27,407571.25,39.11,1.09,57.67,36.96,10.38
China Life Insurance Company Limited,LFC,YES,Finance,Insurance - Life Insurance,77445.29,5652.94,605343.88,13.7,1.58,17.76,13.55,3.56
Leaf Group Ltd.,LFGR,YES,Computer and Technology,Internet - Services,170.01,24.46,47251.55,6.95,0.86,10.1,6.45,13.7
"Littelfuse, Inc.",LFUS,YES,Computer and Technology,Electronics - Miscellaneous Components,4965.05,24.9,132203.55,199.44,0.99,223.19,149.83,67.63
Lifevantage Corporation,LFVN,YES,Medical,Medical - Dental Supplies,53.85,14.21,27430.35,3.79,0.48,6.43,2.92,24.79
Legacy Reserves LP,LGCY,YES,Oils-Energy,Oil and Gas - Exploration and Production - United States,361.4,76.89,506847.94,4.7,1.91,4.94,1.09,93.77
Lions Gate Entertainment Corp.,LGF.A,YES,Consumer Discretionary,Film and Television Production and Distribution,5397.95,210.77,756516.63,25.61,1.15,35.52,24.69,8.49
Lions Gate Entertainment Corp.,LGF.B,YES,Consumer Discretionary,Film and Television Production and Distribution,3090.82,128.89,435138.16,23.98,1.74,33.55,22.6,12.6
"LGI Homes, Inc.",LGIH,YES,Finance,Real Estate - Development,1650.35,22.33,451066.09,73.9,0.13,78.77,29.04,90.21
Ligand Pharmaceuticals Incorporated,LGND,YES,Medical,Medical - Biomedical and Genetics,3353.45,21.2,319413.69,158.15,0.91,182.62,104.39,68.72
Laboratory Corporation of America Holdings,LH,YES,Medical,Medical - Dental Supplies,16573.02,101.9,658360.63,162.64,0.94,178.11,137.51,61.9
LHC Group,LHCG,YES,Medical,Medical - Outpatient and Home Healthcare,1273.56,18.28,363764.91,69.65,0.7,72.07,51.76,88.08
LaSalle Hotel Properties,LHO,YES,Finance,REIT and Equity Trust - Other,3292,113.21,2319185,29.08,1.12,31.6,24.41,64.95
"aTyr Pharma, Inc.",LIFE,YES,Medical,Medical - Biomedical and Genetics,78.96,29.8,42303.05,2.65,3.48,6.3,2.45,5.19
"Lennox International, Inc.",LII,YES,Construction,Building Products - Air Conditioner and Heating,8196.65,41.18,327848.16,199.06,1.17,221.09,160.6,63.58
Liberty Global PLC,LILA,YES,Computer and Technology,Wireless National,3352.31,171.21,142507.3,19.58,1.56,26.99,19.45,1.72
Liberty Global PLC,LILAK,YES,Computer and Technology,Wireless National,3287.25,171.21,384399.09,19.2,1.6,26.82,19.09,1.42
Lincoln Educational Services Corporation,LINC,YES,Consumer Discretionary,Schools,46.94,24.7,8563.05,1.9,2.47,3.53,1.5,19.7
Iao Kun Group Holding Company Limited,LINU,YES,Consumer Discretionary,Gaming,19.23,12.49,229240.2,1.54,0.23,4.35,0.99,16.38
Fidelity Southern Corporation,LION,YES,Finance,Banks - Southeast,612.03,27.03,127594.1,22.64,1.22,24.66,20.17,55.01
"LightInTheBox Holding Co., Ltd.",LITB,YES,Computer and Technology,Internet - Delivery Services,148.06,68.86,32696.8,2.15,1.29,2.95,1.76,32.77
Lumentum Holdings Inc.,LITE,YES,Computer and Technology,Lasers Systems and Components,3647.87,61.52,2277018.75,59.3,-0.08,73.2,42.6,54.58
LivaNova PLC,LIVN,YES,Medical,Medical - Instruments,4131.74,48.3,389560.34,85.55,0.75,89.74,50.44,89.34
La Jolla Pharmaceutical Company,LJPC,YES,Medical,Medical - Drugs,778.67,26.08,628787.44,29.86,1.36,39.24,23.91,38.81
Lakeland Financial Corporation,LKFN,YES,Finance,Banks - Midwest,1165.94,25.29,92371,46.11,0.86,52.04,41.61,43.15
Link Motion Inc.,LKM,YES,Business Services,Technology Services,176.87,97.72,407535.59,1.81,1.53,4.43,1.53,9.66
LKQ Corporation,LKQ,YES,Auto-Tires-Trucks,Automotive - Replacement Parts,11799.64,309.62,1441918.25,38.11,0.98,43.47,27.94,65.49
LSC Communications,LKSD,YES,Industrial Products,Commercial Printing,541.14,34.85,371238.81,15.53,0.04,26.51,12.23,23.11
"Lumber Liquidators Holdings, Inc",LL,YES,Retail-Wholesale,Building Products - Retail,639.61,28.49,665707.81,22.45,1.74,40.46,21.05,7.21
Lilis Energy Inc.,LLEX,YES,Oils-Energy,Oil and Gas - Exploration and Production - United States,212.38,53.5,265190.59,3.97,-1.35,5.52,3.2,33.19
"Limelight Networks, Inc.",LLNW,YES,Computer and Technology,Internet - Services,432.22,110.83,954073.5,3.9,2.42,5.96,2.46,41.14
Eli Lilly and Company,LLY,YES,Medical,Large Cap Pharmaceuticals,84733.54,1095.6,4062747.25,77.34,0.26,87.89,74.21,22.88
"Legg Mason, Inc.",LM,YES,Finance,Financial - Investment Management,3347.79,84.54,674257.56,39.6,2.05,46.14,36.29,33.6
"LeMaitre Vascular, Inc.",LMAT,YES,Medical,Medical - Products,736.54,19.28,140453.16,38.2,0.54,39.13,24.88,93.47
Limoneira Co,LMNR,YES,Consumer Staples,Agriculture - Operations,336.29,14.53,25160.45,23.14,0.8,25.36,18.35,68.33
Luminex Corporation,LMNX,YES,Medical,Medical - Instruments,939.27,44.43,211777.41,21.14,0.11,22.1,18.05,76.3
Landmark Infrastructure Partners LP,LMRK,YES,Finance,Real Estate - Operations,407.59,25.01,33307.85,16.3,0.43,18.75,15.35,27.94
LINE Corporation,LN,YES,Computer and Technology,Internet - Software,9521.87,238.52,116902.6,39.92,1.41,46.91,32.96,49.89
Lincoln National Corporation,LNC,YES,Finance,Insurance - Life Insurance,14955.01,218.26,1293421.5,68.52,1.94,85.91,63.23,23.32
Landec Corporation,LNDC,YES,Consumer Staples,Food - Miscellaneous,369.36,27.56,81140.75,13.4,0.82,14.85,11.65,54.69
"Cheniere Energy, Inc.",LNG,YES,Oils-Energy,Oil and Gas - Exploration and Production - United States,12857.23,237.66,1918748.75,54.1,1.55,59.99,40.8,69.31
Lindsay Corporation,LNN,YES,Industrial Products,Manufacturing - Farm Equipment,928.79,10.72,101383.65,86.63,0.31,95.05,82.79,31.32
Alliant Energy Corporation,LNT,YES,Utilities,Utility - Electric Power,9497.18,231.36,1878952.38,41.05,0.31,45.18,37.14,48.63
"Lantheus Holdings, Inc.",LNTH,YES,Medical,Medical - Products,562.23,37.86,383974.75,14.85,1.52,24.3,10.85,29.74
"Live Oak Bancshares, Inc.",LOB,YES,Finance,Banks - Southeast,1142.57,39.95,151364.7,28.6,0.16,29.6,20.95,88.44
"El Pollo Loco Holdings, Inc.",LOCO,YES,Retail-Wholesale,Retail - Restaurants,367.29,38.66,391656.31,9.5,0.32,14.4,9.25,4.85
"Comstock Mining, Inc.",LODE,YES,Basic Materials,Mining - Gold,12.48,49.72,436247.25,0.2511,-0.26,1.17,0.23,2.25
Logitech International S.A.,LOGI,YES,Computer and Technology,Computer - Peripheral Equipment,5899.96,164.21,325715.69,35.93,0.9,43.38,30.8,40.78
"LogMein, Inc.",LOGM,YES,Computer and Technology,Computer - Services,6003.35,52.43,434553.25,114.5,1.4,133.8,100.4,42.22
Lonestar Resources US Inc.,LONE,YES,Oils-Energy,Oil and Gas - Exploration and Production - United States,96.45,21.82,54858.4,4.42,-0.1,5.52,2.83,59.11
"Grand Canyon Education, Inc.",LOPE,YES,Consumer Discretionary,Schools,5196.73,48.29,257691.41,107.61,1.19,107.96,69.33,99.09
"Loral Space and Communications, Inc.",LORL,YES,Computer and Technology,Satellite and Communication,1237.28,30.93,62108.05,40,1.21,51.25,36.85,21.88
"Lowe's Companies, Inc.",LOW,YES,Retail-Wholesale,Building Products - Retail,70749.2,830,7563477.5,85.24,1.32,107.4,72.56,36.4
"Loxo Oncology, Inc.",LOXO,YES,Medical,Medical - Drugs,3395.36,30.03,441926.66,113.05,2.32,132.87,42.42,78.09
Lipocine Inc.,LPCN,YES,Medical,Medical - Drugs,34.66,21.26,204779.8,1.63,0.52,5.26,1.18,11.03
Dorian LPG Ltd.,LPG,YES,Transportation,Transportation - Shipping,427.22,55.13,225315.16,7.75,0.95,10.1,6.41,36.31
"Laredo Petroleum, Inc.",LPI,YES,Oils-Energy,Oil and Gas - Exploration and Production - United States,2093.07,242.54,2899523.5,8.63,1.22,14.83,7.57,14.6
"LG Display Co., Ltd.",LPL,YES,Computer and Technology,Computer - Peripheral Equipment,8394.39,715.63,884301.13,11.73,0.73,16.87,11.33,7.22
LPL Financial Holdings Inc.,LPLA,YES,Finance,Financial - Investment Bank,5094.31,90.18,774993.25,56.49,1.62,65.99,37.8,66.3
"LifePoint Health, Inc.",LPNT,YES,Medical,Medical - Hospital,1849.49,38.98,475514.59,47.45,0.5,67.5,42.75,18.99
"LivePerson, Inc.",LPSN,YES,Computer and Technology,Internet - Services,904.96,60.13,494970.75,15.05,0.86,16.35,6.65,86.6
Liberty Property Trust,LPT,YES,Finance,REIT and Equity Trust - Other,5765.72,147.46,1105078.63,39.1,0.74,45.29,38.63,7.06
Louisiana-Pacific Corporation,LPX,YES,Construction,Building Products - Wood,4258.63,144.95,1414312.63,29.38,1.55,30.74,22.28,83.92
La Quinta Holdings Inc.,LQ,YES,Consumer Discretionary,Hotels and Motels,2230.67,117.34,1389719.63,19.01,1.74,20.18,13.37,82.82
iShares iBoxx $ Investment Grade Corporate Bond ETF,LQD,YES,Finance,Financial - Investment Funds,32737.83,279.5,5894277.5,117.13,0.1,121.79,115.72,23.23
"Liquidity Services, Inc.",LQDT,YES,Business Services,Auction and Valuation Services,198,31.93,122162,6.2,0.62,7.9,4.4,51.43
LRAD Corporation,LRAD,YES,Consumer Discretionary,Audio Video Production,74.17,32.25,29378.3,2.3,0.62,2.54,1.31,80.49
Lam Research Corporation,LRCX,YES,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,31469.39,162.95,3282127.25,193.12,1.41,228.65,125.17,65.67
K12 Inc,LRN,YES,Consumer Discretionary,Schools,596.37,41.42,166196.45,14.4,0.03,20.91,14.18,3.27
Lattice Semiconductor Corporation,LSCC,YES,Computer and Technology,Electronics - Semiconductors,645.9,124.21,777166.63,5.2,1.54,7.08,5.07,6.47
"Life Storage, Inc.",LSI,YES,Finance,REIT and Equity Trust - Other,3971.99,46.52,396453.16,85.39,0.49,91.12,70.59,72.09
"Landstar System, Inc.",LSTR,YES,Transportation,Transportation - Truck,4407,41.99,317086.31,104.95,0.79,115.45,81.05,69.48
Liberty Media Corporation,LSXMA,YES,Computer and Technology,Satellite and Communication,13802.32,336.15,450030.16,41.06,1.95,46.13,36.43,47.73
"LTC Properties, Inc.",LTC,YES,Finance,REIT and Equity Trust - Other,1476.97,39.63,278689.5,37.27,0.11,52.65,36.55,4.47
LATAM Airlines Group S.A.,LTM,YES,Transportation,Transportation - Airline,9496.33,606.41,360313.84,15.66,1.75,17.19,10.97,75.4
PIMCO 15+ Year U.S. TIPS Index Exchange-Traded Fund,LTPZ,YES,Finance,Financial - Investment Funds,238.69,3.57,20572.7,66.86,0.09,69.23,64.28,52.12
"Liberty TripAdvisor Holdings, Inc.",LTRPA,YES,Computer and Technology,Internet - Services,758.07,75.06,543002.75,10.1,1.34,15.4,8.2,26.39
"LegacyTexas Financial Group, Inc.",LTXB,YES,Finance,Financial - Savings and Loan,2024.38,48.2,247322.5,42,1.27,45.82,34.87,65.11
"Luby's, Inc.",LUB,YES,Retail-Wholesale,Retail - Restaurants,80.11,29.34,14452.75,2.73,0.79,3.41,2.36,35.24
Leucadia National Corporation,LUK,YES,Conglomerates,Diversified Operations,8653.38,356.25,2744983.5,24.29,1.3,28.01,21.77,40.38
lululemon athletica inc.,LULU,YES,Consumer Discretionary,Textile - Apparel,12142.19,135.46,2588294.5,89.64,0.19,91.27,47.91,96.24
Southwest Airlines Co.,LUV,YES,Transportation,Transportation - Airline,32249.11,587.95,4998225,54.85,1.14,66.29,50.71,26.57
Las Vegas Sands Corp.,LVS,YES,Consumer Discretionary,Gaming,55127.05,788.88,3156319.25,69.88,1.65,79.03,55.56,61.01
Lamb Weston Holdings Inc.,LW,YES,Consumer Staples,Food - Miscellaneous,9108.3,146.22,1111129.88,62.29,0.78,62.29,40.9,100
"Luxoft Holding, Inc.",LXFT,YES,Computer and Technology,Computers - IT Services,1311.38,33.84,228414.66,38.75,1.64,66.4,38.75,0
Lexington Realty Trust,LXP,YES,Finance,REIT and Equity Trust - Other,1906.88,240.77,1238051.38,7.92,0.88,10.59,7.72,6.97
"Lexicon Pharmaceuticals, Inc.",LXRX,YES,Medical,Medical - Biomedical and Genetics,892.25,105.59,524465.63,8.45,0.4,17.88,7.86,5.89
Lsb Industries Inc.,LXU,YES,Conglomerates,Diversified Operations,167.61,28.6,185031.5,5.86,4.4,11.64,5.51,5.71
LyondellBasell Industries N.V.,LYB,YES,Basic Materials,Chemical - Diversified ,39230.73,394.56,2541404.5,99.43,1.09,121.49,78.91,48.19
Lloyds Banking Group PLC,LYG,YES,Finance,Banks - Foreign,69187.39,18017.55,3775635.25,3.84,0.89,4.19,3.17,65.69
LSI Industries Inc.,LYTS,YES,Construction,Building Products - Lighting,192.32,25.57,66538.75,7.52,1.67,9.95,5.48,45.64
"Live Nation Entertainment, Inc.",LYV,YES,Consumer Discretionary,Leisure and Recreation Services,7768.86,208.17,2299599.75,37.32,0.97,48.59,30.67,37.11
